Date,neg,neu,pos
2010-01-07,0.0267270896583795,0.919697105884552,0.0535757951438427
2010-01-13,0.0309636741876602,0.882527768611908,0.0865085944533348
2010-01-28,0.48068066500127304,0.4822702389210463,0.0370491202920675
2010-02-02,0.0649306327104568,0.9090964794158936,0.0259728506207466
2010-02-09,0.0487368553876876,0.914412796497345,0.0368503779172897
2010-02-16,0.0191921088844537,0.9089308381080629,0.0718770325183868
2010-02-23,0.038985226303339,0.8655684590339661,0.0954463556408882
2010-03-22,0.6773408055305481,0.2772976160049438,0.0453615486621856
2010-04-27,0.089906208217144,0.8755325675010681,0.0345611907541751
2010-04-29,0.0714845582842826,0.8826653361320496,0.0458500608801841
2010-04-30,0.0184827633202075,0.9308748841285706,0.0506423525512218
2010-06-24,0.0150589076802134,0.9173797965049744,0.0675612688064575
2010-08-09,0.0285455957055091,0.9188244342803956,0.0526300035417079
2010-08-30,0.0165508929640054,0.923906683921814,0.0595423728227615
2010-09-03,0.038091491907835,0.9219227433204652,0.0399858281016349
2010-09-24,0.041136872023344,0.2536568641662597,0.7052062153816223
2010-10-11,0.0252801924943923,0.9282333254814148,0.0464865267276763
2010-11-15,0.0114234574139118,0.8864580988883972,0.1021184623241424
2010-11-30,0.0309742018580436,0.9377471804618835,0.0312785916030406
2010-12-03,0.0803377032279968,0.8924372792243958,0.0272250343114137
2010-12-17,0.5837879776954651,0.3991752862930298,0.0170368030667305
2010-12-21,0.0242617540061473,0.9283559918403624,0.0473822429776191
2010-12-23,0.6813874244689941,0.2808218896389007,0.0377907007932662
2010-12-28,0.0638960599899292,0.8961290121078491,0.0399749912321567
2010-12-29,0.0280507579445838,0.9307875037193298,0.0411617383360862
2011-02-02,0.0508381500840187,0.9140458106994628,0.0351160801947116
2011-03-28,0.0372018180787563,0.6951938271522522,0.2676042914390564
2011-03-31,0.0284968428313732,0.9002476930618286,0.0712554156780242
2011-04-07,0.0172610729932785,0.9239773154258728,0.0587616562843322
2011-04-28,0.063075378537178,0.8922539949417114,0.0446706004440784
2011-05-20,0.0369322523474693,0.9231078624725342,0.0399598777294158
2011-05-26,0.0355117805302143,0.895932137966156,0.0685561299324035
2011-06-21,0.0164772849529981,0.9238138794898988,0.0597088672220706
2011-06-22,0.0280225779861211,0.4447097480297088,0.5272676944732666
2011-06-26,0.0355200767517089,0.8435869216918945,0.1208929643034935
2011-07-20,0.06989498995244495,0.8199315965175629,0.1101734116673469
2011-07-28,0.051435470581054646,0.8939569592475891,0.054607568308711
2011-08-17,0.0305695328861475,0.8930723667144775,0.0763581544160842
2011-08-22,0.0481560640037059,0.90227872133255,0.0495652258396148
2011-09-02,0.03353439643979065,0.9100718200206757,0.05639382265508169
2011-09-30,0.0649829655885696,0.905464231967926,0.0295528396964073
2011-10-27,0.04074015126874047,0.6751121034224828,0.2841477319598198
2011-11-02,0.0169139951467514,0.8751175403594971,0.1079684346914291
2011-11-08,0.062009569257497746,0.8796776533126831,0.0583128314465284
2011-11-29,0.01803226955235,0.9082933068275452,0.0736744031310081
2011-12-07,0.9508879780769348,0.0294307246804237,0.019681267440319
2011-12-08,0.022402660921216,0.822854220867157,0.1547430902719497
2011-12-12,0.0152546744793653,0.9094794988632202,0.0752657502889633
2011-12-20,0.3503849084178606,0.6028297046820322,0.04678534468015033
2011-12-21,0.0267516151070594,0.9169389605522156,0.0563094355165958
2012-01-09,0.0380871407687664,0.9100697636604308,0.0518430992960929
2012-01-19,0.1370827853679657,0.789101243019104,0.0738159418106079
2012-01-20,0.8624714016914368,0.1085145026445388,0.0290141236037015
2012-02-01,0.0332269854843616,0.7500075697898865,0.21676541492342943
2012-02-02,0.0869864163299401,0.8579666415850321,0.0550469520191351
2012-02-08,0.043988149613142,0.9047400951385498,0.0512717552483081
2012-02-28,0.0363014340400695,0.906886339187622,0.0568122006952762
2012-03-01,0.04009184055030343,0.9197734793027242,0.040134685734907735
2012-03-06,0.01031512953341,0.8532399535179138,0.1364448815584182
2012-03-07,0.0520649887621402,0.9206010699272156,0.027333952486515
2012-03-13,0.085181713104248,0.888180136680603,0.0266381632536649
2012-03-20,0.0448825471103191,0.9201110005378724,0.0350064858794212
2012-03-26,0.050712379626929746,0.8873589336872101,0.061928644776344244
2012-03-28,0.0332364855955044,0.9071314930915833,0.059632025659084265
2012-03-30,0.013229695148766,0.8231797218322754,0.1635905504226684
2012-04-02,0.0189354121685028,0.9296218156814576,0.0514427125453949
2012-04-09,0.0371174737811088,0.9202927350997924,0.042589783668518
2012-04-13,0.0781201794743537,0.8729276657104492,0.0489521995186805
2012-04-23,0.0200978778302669,0.9212275743484496,0.0586745142936706
2012-04-25,0.0812390148639679,0.8786436915397644,0.0401173345744609
2012-04-26,0.3610149311522643,0.6077010072767735,0.03128407491991913
2012-04-30,0.11963632702827451,0.3981310501694679,0.48223257251083856
2012-05-15,0.0232031121850013,0.923448920249939,0.0533480122685432
2012-05-31,0.0192617885768413,0.9363178014755248,0.0444204099476337
2012-06-19,0.0109008997678756,0.8114531636238098,0.1776459068059921
2012-06-20,0.0266572404652833,0.9123714566230774,0.0609713308513164
2012-06-26,0.0315067023038864,0.9318134784698486,0.0366798266768455
2012-06-27,0.0154125047847628,0.908090353012085,0.0764971897006034
2012-06-28,0.0348142087459564,0.918026864528656,0.0471589975059032
2012-06-30,0.0259374435991048,0.9099441766738892,0.0641183480620384
2012-07-02,0.0375235001556575,0.8598644733428955,0.10261201113462445
2012-07-03,0.0195163842290639,0.834844708442688,0.1456389725208282
