Date,neg,neu,pos
2010-01-20,0.0497118476778268,0.8750535547733307,0.07523464038968085
2010-01-21,0.0276786517351865,0.9232621192932128,0.0490592680871486
2010-03-17,0.0137783102691173,0.922889530658722,0.063332162797451
2010-03-25,0.061780072748661,0.623556911945343,0.3146630525588989
2010-03-29,0.0199180506169796,0.9323894381523132,0.0476925112307071
2010-04-01,0.4912504255771637,0.460372120141983,0.048377476632595
2010-04-20,0.0422998331487178,0.90644770860672,0.0512524433434009
2010-04-21,0.045593069866299546,0.9068988263607025,0.04750812053680415
2010-04-27,0.0267344322055578,0.8644647002220154,0.1088008731603622
2010-05-06,0.0323892161250114,0.93284410238266,0.0347667038440704
2010-05-13,0.0480048693716526,0.9083045721054076,0.0436905622482299
2010-06-12,0.0321055017411708,0.9292061924934388,0.0386882722377777
2010-07-09,0.0265761092305183,0.9171134233474731,0.0563105233013629
2010-07-12,0.0184771865606308,0.9083954691886902,0.0731273144483566
2010-07-21,0.031154740601778003,0.9119952619075776,0.05684999935328955
2010-07-22,0.0511353239417076,0.8990209698677063,0.0498436838388443
2010-08-12,0.0199692659080028,0.778834879398346,0.2011958658695221
2010-08-13,0.0185834597796201,0.9393094182014464,0.042107094079256
2010-08-27,0.0638076514005661,0.9077798128128052,0.0284125749021768
2010-09-10,0.0704560726881027,0.179463118314743,0.7500807642936707
2010-09-21,0.0898007452487945,0.880254328250885,0.0299449767917394
2010-09-22,0.0278826765716075,0.91391783952713,0.0581994950771331
2010-10-15,0.0221483763307333,0.9167845249176024,0.0610670521855354
2010-10-16,0.062581080943346,0.8535345792770386,0.08388432487845421
2010-10-20,0.051638260483741746,0.8817273378372192,0.06663436628878115
2010-10-21,0.0400645583868026,0.9090237021446228,0.050911720842123
2010-11-03,0.0398924499750137,0.9073832035064696,0.0527243427932262
2010-11-15,0.0101661812514066,0.592719316482544,0.3971145749092102
2010-11-24,0.0202967375516891,0.8927729725837708,0.0869302898645401
2010-11-29,0.04233027668669815,0.6762465517967939,0.2814231906086206
2010-11-30,0.0209732726216316,0.8075725436210632,0.1714542210102081
2010-12-01,0.0196502804756164,0.8137419819831848,0.1666077226400375
2010-12-03,0.027647404000163,0.938303530216217,0.0340491347014904
2010-12-04,0.1367266625165939,0.842312753200531,0.0209605228155851
2010-12-09,0.028980266302824,0.9264697432518004,0.044549997895956
2010-12-13,0.0279429033398628,0.9164974689483644,0.0555596649646759
2010-12-15,0.9388824701309204,0.0479128435254097,0.0132046528160572
2010-12-17,0.022151531651616,0.9347491264343262,0.0430993661284446
2010-12-18,0.0314935594797134,0.9250534772872924,0.0434529446065425
2010-12-20,0.0234808530658483,0.8768858909606934,0.0996332243084907
2010-12-22,0.0260028969496488,0.9401616454124452,0.0338355302810668
2010-12-23,0.0406511425971984,0.9244989156723022,0.0348499678075313
2010-12-27,0.0966775268316268,0.8751070499420166,0.0282154195010662
2010-12-29,0.03392235438028967,0.5178054807086786,0.4482721798121929
2010-12-30,0.15362457465380425,0.6720866560935974,0.17428876925259823
2010-12-31,0.0187558103352785,0.6127868890762329,0.3684572577476501
2011-01-04,0.4582274258136749,0.4981497228145599,0.0436228066682815
2011-01-10,0.0262176990509033,0.8562765121459961,0.1175057962536811
2011-01-19,0.05618681944906706,0.8436268965403239,0.10018634299437203
2011-01-20,0.14841429765025774,0.7362977862358093,0.11528791611393285
2011-01-25,0.1168893203139305,0.8111822009086609,0.071928434073925
2011-01-26,0.0200684387236833,0.9267606139183044,0.0531709119677543
2011-02-11,0.0198040138930082,0.5544005632400513,0.4257954359054565
2011-03-17,0.02683725720271465,0.9209126830101013,0.0522500071674585
2011-03-28,0.040455725509673295,0.8812784254550934,0.07826588768512005
2011-03-29,0.7908348441123962,0.1845076084136963,0.0246575474739074
2011-04-27,0.04949383623898025,0.9007253348827362,0.049780860543250996
2011-05-09,0.0163206849247217,0.9373003244400024,0.0463789999485015
2011-05-10,0.0294033205136656,0.9088053405284882,0.061791360378265325
2011-05-16,0.9639461040496826,0.0223543550819158,0.0136994561180472
2011-05-23,0.0157462805509567,0.8890172839164734,0.0952364727854728
2011-05-25,0.019091373309493,0.9458496570587158,0.0350589752197265
2011-05-27,0.0584146976470947,0.9164370894432068,0.0251481737941503
2011-06-01,0.0436544008553028,0.913735568523407,0.0426099859178066
2011-06-03,0.2060460150241851,0.756298303604126,0.0376556701958179
2011-06-08,0.0152205862104892,0.5244856476783752,0.4602937400341034
2011-06-29,0.018527611158788197,0.8846014142036438,0.0968710426241159
2011-06-30,0.0283837132155895,0.8973016440868378,0.0743146631866693
2011-07-07,0.011096834205091,0.8838810920715332,0.105022020637989
2011-07-12,0.2306183576583862,0.7379040122032166,0.0314776562154293
2011-07-13,0.0193543098866939,0.9199262857437134,0.0607193782925605
2011-07-14,0.0345990508794784,0.4033683836460113,0.5620324611663818
2011-07-18,0.0218291617929935,0.1104851067066192,0.8676857352256775
2011-07-19,0.2537846565246582,0.7253794074058533,0.0208359807729721
2011-07-20,0.034396718256175476,0.9107866585254669,0.05481663625687355
2011-07-21,0.0223178528249263,0.7351832985877991,0.2424988895654678
2011-07-26,0.011913277208805,0.7978510856628418,0.1902356594800949
2011-07-27,0.14108441770076746,0.8357217907905579,0.0231937719509005
2011-07-28,0.0296726562082767,0.9144778847694396,0.0558494366705417
2011-08-01,0.0213637501001358,0.9127638936042786,0.0658723637461662
2011-08-02,0.0821520984172821,0.8674351572990417,0.0504127144813537
2011-08-03,0.0123323015868663,0.4147806763648987,0.5728870630264282
