Date,SMA_10,SMA_15,SMA_20,SMA_50,SMA_100,SMA_200,EMA_10,EMA_12,EMA_14,EMA_26,EMA_30,EMA_50,EMA_100,ADX_14,ADX_14_neg,ADX_14_pos,ADX_20,ADX_20_neg,ADX_20_pos,ADX_25,ADX_25_neg,ADX_25_pos,ADX_30,ADX_30_neg,ADX_30_pos,ATR_14,ATR_20,ATR_28,RSI_7,RSI_14,RSI_21,Stoch_14,Stoch_14_signal,Stoch_21,Stoch_21_signal,Stoch_28,Stoch_28_signal,CMF_14,CMF_20,CMF_28,VROC_7,VROC_14,VROC_21,VROC_28,target
2015-12-08,0.9958385825885,0.9947785078355358,0.9893047126400214,0.9779057464252097,0.9779311228890025,1.0271538206694184,0.9954109248034058,0.9950729399482173,0.9947506130337452,0.9918136816691895,0.9906262777039155,0.9868039951531337,0.9907250062735832,11.940980893642124,26.74951964835655,23.816659527904147,12.368975798286316,26.745006190727572,23.671848524438925,14.003007622931223,27.025429801875507,23.365196172505133,15.628364473128185,27.39617939224782,23.023424815549625,0.019593483494077663,0.020249676440961255,0.021006698168285782,54.20954892797898,52.96331043010987,52.602014296334964,70.35095233633602,78.50829910326986,66.88256234790612,67.6395938021273,56.396283377857976,58.60634802934083,0.025220467809703443,-0.08545556840933723,-0.08632939307529545,1.6298059234731421,0.2423371196622357,0.038350841194468854,-0.5989603910631504,-2.2075619861669393
2015-12-09,1.0154990202609184,1.0183474330638103,1.0111399154511072,1.0011156982938123,0.9985841303714497,1.0497712059319497,1.0146301423692545,1.014837875130061,1.014911925167428,1.0131507759103067,1.012150653511275,1.008723982131356,1.0128303871391622,12.206531370024422,29.56746273495547,21.561360110887996,12.393473678549753,28.672563863753354,22.138768476642788,13.943388491977156,28.522646274873054,22.178633733470114,15.537782817095216,28.607654602292904,22.065311168921582,0.02055068931863338,0.02103367381452447,0.02168674281570391,39.702012487170606,45.88775177966148,48.02494766263579,24.56144342867851,56.68797147315547,51.793763396347124,62.007126846799316,36.037463779716404,49.74000347944834,-0.10196846010801808,-0.10014670969003998,-0.15302162367610592,0.18328343580830153,-0.006712415934114202,0.368747675029671,-0.09498646229647079,0.475692275815609
2015-12-10,1.0090901377152692,1.0128834295660267,1.006378596215027,0.9973866016612732,0.9926013746701996,1.0441878421718156,1.008039843856504,1.0084896520035567,1.0087593346098835,1.0077352900745946,1.0068839693553282,1.0037934433006197,1.0078761276682529,12.453113955236557,28.259204891898264,20.607344586292378,12.416746664800018,27.81183942836997,21.4741826695385,13.886154126261252,27.85374970864647,21.658513271821917,15.45022054959668,28.059286301018172,21.642350343540603,0.019871690893654013,0.020502864817047297,0.021252836213103192,43.42432535462681,47.480009633843665,49.00670842598938,34.210491092342494,43.04096228578567,57.95963262576102,58.87865279000473,40.327599781711235,44.2537823130952,-0.14029992041343514,-0.09390183813595579,-0.11411831144499397,-0.16181668981189246,-0.32527635475034533,-0.5059405120087133,-0.40823412396967096,-2.573812439439993
2015-12-11,1.0316575314587817,1.0363432815883142,1.0318430757986883,1.024371791355272,1.0177602010795075,1.071098244868511,1.0283666231533832,1.0297270840311001,1.030687640102029,1.0318127015560785,1.0313236546601998,1.0291230394122326,1.0338190625476913,13.607036625458187,33.42504996813198,18.554674191081748,12.903112578489566,31.387067880954046,20.006453198820353,14.125382519022823,30.65897782549124,20.496073397809322,15.566135132303222,30.350591650823066,20.689834358347397,0.021035029811197155,0.021458975596697676,0.022082849062516563,31.206099722705304,40.50255901213651,44.23694375031802,4.707585313692093,21.159839944904355,24.43947032147812,44.73095544786205,17.00468297246455,31.123248844630723,-0.19469550211831602,-0.10027175807328997,-0.1686418908929997,0.4043418617049954,0.3674588985361842,0.03689238798708483,0.45594395605419313,-0.618481133022386
2015-12-14,1.0329035943142835,1.038750558260082,1.0383267825315359,1.0311201664195548,1.022966717920442,1.0770256587898552,1.0284452842026153,1.0305760957661876,1.0321549971654111,1.0354018359784016,1.0353069316698102,1.0341343436198829,1.0394557442938919,15.493482651016276,39.036309465801935,16.722964234800504,13.810035041919111,35.416427966891185,18.637305013215613,14.648371374205146,33.87793367133508,19.389214126510453,15.88348974824498,33.01224997081712,19.77070863933486,0.021806847700320865,0.022019829453388776,0.022503077560655206,28.97904357174022,39.05552607234342,43.203295294093174,26.71303399134022,21.877036799124927,26.554819059784194,36.31797400234108,19.17321935462821,25.50183403626799,-0.04027180360313883,0.0328716935246448,-0.1292448315016273,0.5472570033317696,0.9801031324559377,0.977479277861131,0.41300775500340525,-1.7692082448194535
2015-12-15,1.045307287007553,1.0530787255617176,1.0553579701073288,1.0496388994862293,1.0401231067635355,1.0955697533065716,1.0384286371492977,1.041577904354807,1.0439788803081833,1.0500464617069412,1.0504726898752401,1.0506908437903704,1.0570250790080042,17.178133153331796,36.25098887107492,15.87923326245162,14.64084632903814,33.66380988232731,17.957404556996163,15.1314906601216,32.554422012529585,18.823087254867005,16.177454592435485,31.95105864842322,19.2926217648314,0.022197775606377836,0.022404301231215926,0.022882146546727995,23.432574457117283,35.20481581042189,40.38640235633465,6.9513105209126484,12.790643275314977,6.910139565990515,19.301476315750914,5.426332290255253,13.86807820578266,-0.17093897831803082,-0.07608352006491594,-0.14445065871068252,-0.07708776848919119,0.24577368047248793,0.16394469619578977,0.18796464829869386,0.7692990230383723
2015-12-16,1.032890277051049,1.0405245484148393,1.0462457642263476,1.0416310719608024,1.0311559512979565,1.0864334802977424,1.0249553660915733,1.0284529620538678,1.0312076909392511,1.0389167908016737,1.0397141980847342,1.0409962792485596,1.0479860594460062,19.11363279412844,37.37315448164782,14.435019203564462,15.638870270932719,34.61181428961782,16.816823945099376,15.735148171105232,33.361294806647834,17.875910818586746,16.56060143381557,32.64155831750355,18.491962193571897,0.0225013563967027,0.022554144589669596,0.022919725257567768,30.099470415313277,38.015982673815344,42.08009453404036,22.965586318409333,18.876643610220725,22.84167627202371,18.76887829926611,19.52340014285329,14.707650595912241,-0.07296650472774192,-0.012234417002700379,-0.09800707479674974,0.7528409622181635,1.6294048615364476,0.47581658868387966,0.4218624771507382,-2.1196273204419858
2015-12-17,1.0495503466865936,1.0575212225344781,1.0650898890083447,1.0638575542099689,1.052164584054846,1.109160818432807,1.0385781450535416,1.0429206491784957,1.0464002819780844,1.0568655828807554,1.0582146981096932,1.061047610661429,1.069280881971337,20.754496489836395,33.96317092953574,13.843420536166493,16.516429127205317,32.39182174141819,16.248181584081696,16.27158574451571,31.660158136097987,17.369833786091807,16.902051723166842,31.26560386575855,18.0476302834544,0.02348983282882635,0.023390706651215232,0.023651394695139463,23.477695036447315,33.650674412190526,38.86133365140525,1.6274895561429745,10.514795465154977,1.6187084911356275,10.456841443049923,1.3835540444018049,8.777762159170107,-0.1318591608495668,-0.11464396019524456,-0.12897953429821987,0.3049680117751643,2.431812607309296,0.6212102010001121,0.35501463275861544,-2.7069228177345583
2015-12-18,1.06649063101994,1.0795372483983523,1.0887107517547678,1.0928020478984664,1.0798387364864805,1.1390502792431825,1.0552058674105729,1.0608699052714061,1.0654451244755632,1.0798796994577495,1.082001453551383,1.0870167528700632,1.0970697915109795,22.96546048164532,39.12679578378908,12.454924033624028,17.746301950512713,36.16655561414546,15.092121676289775,17.0559234646767,34.71717038547286,16.382569149790957,17.424762540353296,33.81974266125626,17.196823096358145,0.0249181406187809,0.024588921146292242,0.02469088428704672,17.77496201902808,29.145452743165933,35.31579463937244,1.5658446470984957,8.719640173883592,1.5591864719107442,8.67319041169,1.5591864719107442,7.488713553055271,-0.22752603153490303,-0.22476480517890313,-0.18185446246962617,1.080465645989983,1.4617805376681647,1.0665006952374627,1.847632515927892,1.2260709862534247
2015-12-21,1.0433709000268554,1.0596477944181142,1.0699478026590639,1.078673230329519,1.0653582218542308,1.1243310134278195,1.0347113611566832,1.0406326722482853,1.0455348695076305,1.061851828230721,1.064451124334435,1.070954481170741,1.082122809947172,25.06460128516657,37.84235530141637,11.834707921217454,18.942249778304223,35.36594707916319,14.562945088255136,17.827968270848856,34.12005925620521,15.925113843244066,17.943860659371985,33.34621393486812,16.799333548573284,0.024055927571296584,0.023915077089046777,0.024119641508554678,26.903339493236217,33.3784087838566,37.93588410982902,12.316319268517832,5.1698844905864245,12.264824553148708,5.147573172064998,12.264824553148708,5.069188356487076,-0.13097532876758602,-0.16265599513857573,-0.1304540962191661,0.629106518740137,0.3654898945266323,0.09919668882432009,-0.1951244674679804,-0.0931691721001715
